presented cue,response cue,response time,session
5,4,9.171658,Training
1,2,11.527942,Training
4,3,5.590480,Training
2,1,5.343622,Training
3,5,4.926753,Training
3,5,10.656708,Training
2,1,1.806341,Training
5,4,2.431733,Training
4,3,4.366404,Training
1,2,3.246845,Training
1,2,2.945786,Training
2,1,14.212466,Testing
1,2,9.393015,Testing
5,4,15.299844,Testing
4,3,10.969281,Testing
3,5,3.105564,Testing
2,1,4.800167,Testing
3,5,2.706969,Testing
1,2,1.865774,Testing
5,4,10.943962,Testing
4,3,2.396376,Testing
2,1,2.128401,Testing
1,2,3.146280,Testing
3,5,7.462493,Testing
5,4,3.717497,Testing
4,3,18.703791,Testing
5,4,8.919937,Testing
